POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,56.34,2629.23,2750.05,271.05,153.18,-25.1,-2004.57,-16351.54,1284.37,11437.24,-2752.67,83.63,0.0,200.24,-2669.04,-2468.8
21,58.09,2521.56,2733.65,261.14,165.4,-50.29,-2007.7,-16297.44,1295.95,11553.69,-2935.8,85.13,0.0,234.05,-2850.67,-2616.62
41,57.5,2527.97,2781.47,254.0,148.16,-69.51,-2056.95,-16300.72,1284.43,11474.16,-2802.98,82.43,0.0,100.52,-2720.55,-2620.02
61,58.07,2511.83,2756.4,264.73,166.26,-43.09,-2020.07,-16393.96,1289.37,11503.14,-2757.79,83.67,0.0,92.69,-2674.12,-2581.43
81,57.47,2548.88,2746.08,273.1,151.37,-26.15,-2058.62,-16445.95,1278.54,11493.22,-2611.75,82.06,0.0,17.96,-2529.69,-2511.73
101,55.98,2555.79,2801.99,254.72,161.23,-30.55,-2050.75,-16404.66,1289.64,11554.77,-2734.18,82.06,0.0,188.13,-2652.13,-2463.99
121,57.86,2549.84,2744.08,266.2,145.12,-34.63,-2061.26,-16278.72,1271.37,11478.06,-2758.93,81.4,0.0,137.91,-2677.53,-2539.62
141,58.07,2512.61,2746.06,261.53,152.65,-23.48,-2060.54,-16428.31,1308.18,11578.33,-2745.25,80.8,0.0,105.11,-2664.46,-2559.35
161,57.21,2473.27,2766.58,256.51,146.37,-44.22,-2053.25,-16186.46,1308.11,11500.33,-2880.53,83.75,0.0,224.44,-2796.78,-2572.33
181,56.21,2541.04,2784.27,251.74,154.0,-14.03,-2052.61,-16015.71,1291.93,11433.18,-2995.45,83.84,0.0,430.03,-2911.61,-2481.59
201,55.75,2480.04,2750.21,263.94,151.26,-33.95,-2037.86,-16074.27,1286.21,11430.96,-2934.73,83.16,0.0,272.29,-2851.57,-2579.28
221,57.47,2554.94,2766.61,267.8,148.95,-19.73,-2069.58,-15961.7,1316.06,11407.94,-3063.91,82.71,0.0,468.75,-2981.2,-2512.45
241,84.85,2601.61,2762.14,257.92,143.6,-44.48,-2028.24,-16171.41,1294.45,11486.57,-2953.59,84.4,0.0,387.0,-2869.19,-2482.19
261,56.2,2559.21,2752.37,260.88,150.57,-57.61,-2031.95,-16104.38,1276.01,11475.23,-2989.56,83.82,0.0,336.54,-2905.73,-2569.19
